Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('infinite_sources_0', 'i_bus_d')",753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,753.9822368615503,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'x0')",0.0,0.0,-70.68994631647955,-348.9667302186725,-0.0015990189512581413,-0.13874901462216627,-13.874901462216627
"('', 'x1')",0.0,0.0,-131.62788581720952,-56.025999180200685,-0.0003149493869976632,-9.145115362355195,-914.5115362355195
"('', 'x2')",0.0,0.0,429.6946413069028,-100.5364619703123,0.00297148501189528,2.777607954583523,277.7607954583523
"('', 'x3')",0.0,0.0,-21.150692076453264,126.3756332182877,0.7890125982849995,0.5469453847009464,54.69453847009464
"('', 'x4')",0.0,0.0,-121.79103350329893,32.12442347430397,-0.23096608557401646,2.224149952737079,222.41499527370792
"('', 'x5')",0.0,0.0,-498.8567936948984,-188.11204384682725,1.467561473684748e-8,-7.76620465112472e-6,-0.000776620465112472
"('', 'x6')",0.0,0.0,188.11258000029164,-498.85579668550827,4.383212386713625e-9,-9.545637774739083e-7,-0.00009545637774739082
"('', 'x7')",0.0,0.0,-56.09760007346977,-162.10257176926478,0.5637339785176892,1.3384534787060294,133.84534787060295
"('', 'x8')",0.0,0.0,-73.14751855179989,-238.560634248683,-0.01811663748261234,2.918758275467197,291.87582754671973
"('', 'x9')",0.0,0.0,225.29156916425896,-73.52629974871797,0.0773032120136149,-8.032420032241864,-803.2420032241864
