Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('infinite_sources_1', 'v_ref_d')","('infinite_sources_1', 'v_ref_q')","('infinite_sources_2', 'v_ref_d')","('infinite_sources_2', 'v_ref_q')"
"('infinite_sources_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_2', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_2', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_3', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_3', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_4', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_4', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_5', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_5', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_6', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_6', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_7', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_7', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_8', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_8', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_2', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_2', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_3', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_3', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_4', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_4', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_5', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_5', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_6', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_6', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_7', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_7', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_8', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('se_rl_8', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
