Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('gfmi_c_0', 'p_ref')","('gfmi_c_0', 'q_ref')","('gfmi_c_0', 'v_ref')","('gfmi_c_1', 'p_ref')","('gfmi_c_1', 'q_ref')","('gfmi_c_1', 'v_ref')","('gfmi_c_2', 'p_ref')","('gfmi_c_2', 'q_ref')","('gfmi_c_2', 'v_ref')"
"('infinite_sources_0', 'i_bus_d')",753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'w_pc')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'q_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'pi_vc')",0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_d')",0.0,0.0,0.0,0.0,3769.9111843077517,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'w_pc')",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'q_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'pi_vc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"('gfmi_c_1', 'i_vsc_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6785.840131753953,0.0,0.0,0.0
"('gfmi_c_1', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_2', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_2', 'w_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0
"('gfmi_c_2', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
