,"('', 'angle_pc')","('', 'w_pc')","('', 'p_pc')","('', 'q_pc')","('', 'pi_vc')","('', 'i_vsc_d')","('', 'i_vsc_q')","('', 'i_bus_d')","('', 'i_bus_q')","('', 'v_lcl_sh_d')","('', 'v_lcl_sh_q')","('inf_src_1', 'i_bus_d')","('inf_src_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('pa_rc_2', 'v_bus_D')","('pa_rc_2', 'v_bus_Q')","('se_rl_1', 'i_br_D')","('se_rl_1', 'i_br_Q')"
"('', 'angle_pc')",0.0,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'w_pc')",0.0,-70.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'p_pc')",0.0,0.0,-1000.0,0.0,0.0,0.0,0.0,1211.4228839988518,-168.8216246925571,592.6363088998429,-615.946205919222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'q_pc')",0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,-168.8216246925571,-1211.4228839988518,615.946205919222,592.6363088998429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'pi_vc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.904288415593488,1.3802430875540153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'i_vsc_d')",0.0,-250.18093537769144,0.0,0.0,3769.9111843077517,-75.39822368615502,376.99111843077515,0.0,0.0,-7503.739951363311,520.3393852833345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'i_vsc_q')",0.0,-686.4787181570151,0.0,0.0,0.0,-376.99111843077515,-75.39822368615502,0.0,0.0,0.0,-3769.9111843077517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'i_bus_d')",506.8089530961746,-232.20624906268003,0.0,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,-1753.893500981665,-690.5904514301124,0.0,0.0
"('', 'i_bus_q')",2017.759296856906,-223.4186249148381,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,0.0,0.0,0.0,0.0,690.5904514301124,-1753.893500981665,0.0,0.0
"('', 'v_lcl_sh_d')",0.0,-63.644253108147666,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,0.0,-3769.9111843077517,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'v_lcl_sh_q')",0.0,-456.6956679313624,0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,-376.99111843077515,-3769.9111843077517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5398223686155035,376.99111843077515,-686.8526156079274,311.0027297875303,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-7.5398223686155035,-311.0027297875303,-686.8526156079274,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5151.394591302483,2332.5204617438753,-282.7433374093647,376.99111843077515,0.0,0.0,-5654.8667481872935,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2332.5204617438753,5151.394591302483,-376.99111843077515,-282.7433374093647,0.0,0.0,0.0,-5654.8667481872935
"('pa_rc_2', 'v_bus_D')",2013.1052041915332,0.0,0.0,0.0,0.0,0.0,0.0,5261.680476636593,-2071.7713439314803,0.0,0.0,0.0,0.0,0.0,0.0,-282.7433374093647,376.99111843077515,5654.8667481872935,0.0
"('pa_rc_2', 'v_bus_Q')",4394.362595111039,0.0,0.0,0.0,0.0,0.0,0.0,2071.7713439314803,5261.680476636593,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-282.7433374093647,0.0,5654.8667481872935
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.9555921538758,0.0,-1884.9555921538758,0.0,-18.849555921538755,376.99111843077515
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.9555921538758,0.0,-1884.9555921538758,-376.99111843077515,-18.849555921538755
