name,from_bus,to_bus,scenario,timepoint,from_bus_angle_deg,to_bus_angle_deg,DCflow_MW,losses_MW
1,1,2,sc1,tp_1,0.0,-5.946263886901561,365.6738064862688,375.74570502794165
1,1,2,sc1,tp_2,0.0,-3.75050555529943,230.64257973402385,149.4807588376872
1,1,2,sc1,tp_3,0.0,-5.083143846238037,312.59503354124985,274.5809905349809
4,2,3,sc1,tp_1,-5.946263886901561,-6.356713594504666,65.6738064862686,4.658092767067524
4,2,3,sc1,tp_2,-3.75050555529943,-4.566998637112146,130.64257973402388,18.43288233072565
4,2,3,sc1,tp_3,-5.083143846238037,-5.161860584475803,12.595033541249887,0.17132565949762643
2,1,4,sc1,tp_1,0.0,-2.329345796251413,132.4086554262511,53.29743817663459
5,3,4,sc1,tp_1,-6.356713594504666,-2.329345796251413,-234.32619351373134,163.07903195090498
2,1,4,sc1,tp_2,0.0,-3.374951615989252,191.844768741909,111.88542249265512
5,3,4,sc1,tp_2,-4.566998637112146,-3.374951615989252,-69.35742026597624,14.28704168547522
2,1,4,sc1,tp_3,0.0,-3.659630116575727,208.0269506884782,131.5566451267495
5,3,4,sc1,tp_3,-5.161860584475803,-3.659630116575727,-87.40496645875022,22.689695640116096
3,1,5,sc1,tp_1,0.0,1.1410139556917256,-308.08246191252016,60.745474136370845
6,4,5,sc1,tp_1,-2.329345796251413,1.1410139556917256,-201.9175380874802,121.08895579630779
3,1,5,sc1,tp_2,0.0,0.7499319793401816,-202.4873484759323,26.240720827400732
6,4,5,sc1,tp_2,-3.374951615989252,0.7499319793401816,-239.99999999999997,171.07199999999995
3,1,5,sc1,tp_3,0.0,0.46525347875370565,-125.62198422972847,10.099765069961055
6,4,5,sc1,tp_3,-3.659630116575727,0.46525347875370565,-239.99999999999997,171.07199999999995
