,"('gfli_b_1', 'pi_cc_d')","('gfli_b_1', 'pi_cc_q')","('gfli_b_1', 'i_bus_d')","('gfli_b_1', 'i_bus_q')","('gfli_b_1', 'int_pll')","('gfli_b_1', 'phase_pll')","('gfli_b_1', 'pi_dc')","('gfli_b_1', 'v_dc')","('inf_src_1', 'i_bus_d')","('inf_src_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('pa_rc_2', 'v_bus_D')","('pa_rc_2', 'v_bus_Q')","('se_rl_1', 'i_br_D')","('se_rl_1', 'i_br_Q')"
"('gfli_b_1', 'pi_cc_d')",0.0,0.0,-5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'pi_cc_q')",0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'i_bus_d')",1256.637061435917,0.0,-1319.468914507713,-5.684341886080802e-14,1.707843966231776,-188.49555921538757,1256.637061435917,2513.274122871834,0.0,0.0,0.0,0.0,-333.5217565987506,128.94414300820392,0.0,0.0
"('gfli_b_1', 'i_bus_q')",0.0,1256.637061435917,5.684341886080802e-14,-1319.468914507713,2.732550345970842,45.14619604711771,0.0,0.0,0.0,0.0,0.0,0.0,5.262871275600034,-40.56424879322708,0.0,0.0
"('gfli_b_1', 'int_pll')",0.0,0.0,0.0,0.0,0.0,-551.8524026269457,0.0,0.0,0.0,0.0,0.0,0.0,-64.33162508586685,495.8441710999651,0.0,0.0
"('gfli_b_1', 'phase_pll')",0.0,0.0,0.0,0.0,3.7699111843077517,-416.0869089500854,0.0,0.0,0.0,0.0,0.0,0.0,-48.5049025831805,373.85769726071294,0.0,0.0
"('gfli_b_1', 'pi_dc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'v_dc')",-2.3559625496811982,1.4724765935507487,-1.349272407080122,-1.3988527638732113,0.0,-1.2188846189443818,-2.3559625496811982,-6.102674554882755,0.0,0.0,0.0,0.0,-1.8943756646298824,0.8678340547962563,0.0,0.0
"('inf_src_1', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5398223686155035,376.99111843077515,-686.8526156079274,311.0027297875303,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-7.5398223686155035,-311.0027297875303,-686.8526156079274,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5151.394591302483,2332.5204617438753,-282.7433374093647,376.99111843077515,0.0,0.0,-5654.8667481872935,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2332.5204617438753,5151.394591302483,-376.99111843077515,-282.7433374093647,0.0,0.0,0.0,-5654.8667481872935
"('pa_rc_2', 'v_bus_D')",0.0,0.0,5607.865430871368,-727.5735351098399,0.0,2013.1052041915336,0.0,0.0,0.0,0.0,0.0,0.0,-282.7433374093647,376.99111843077515,5654.8667481872935,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,727.5735351098399,5607.865430871368,0.0,4394.362595111039,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-282.7433374093647,0.0,5654.8667481872935
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.9555921538758,0.0,-1884.9555921538758,0.0,-18.849555921538755,376.99111843077515
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.9555921538758,0.0,-1884.9555921538758,-376.99111843077515,-18.849555921538755
